"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 04 11:38:03 IST 2020","Tue Aug 04 11:38:06 IST 2020","2841","","e2e Test- FindTransaction Flow","","e2e Test- FindTransaction Flow","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Aug 04 11:38:02 IST 2020","Tue Aug 04 11:38:03 IST 2020","890","","e2e Test- Feedback flow","","e2e Test- Feedback flow","Redirect To FeedBack","Redirect To FeedBack",""
"passed","Tue Aug 04 11:38:07 IST 2020","Tue Aug 04 11:38:12 IST 2020","5823","","e2e Test- Helper Flow","","e2e Test- Helper Flow","Open Help Section","Open Help Section",""
"passed","Tue Aug 04 11:38:04 IST 2020","Tue Aug 04 11:38:06 IST 2020","2697","","e2e Test- CurrencyExchange Flow","","e2e Test- CurrencyExchange Flow","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Aug 04 11:38:11 IST 2020","Tue Aug 04 11:38:14 IST 2020","3048","","e2e Test- PaymentSavedPayee Flow","","e2e Test- PaymentSavedPayee Flow","Launch Browser","Launch Browser",""
"passed","Tue Aug 04 11:38:14 IST 2020","Tue Aug 04 11:38:17 IST 2020","2510","","e2e Test- PaymentSavedPayee Flow","","e2e Test- PaymentSavedPayee Flow","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Aug 04 11:37:59 IST 2020","Tue Aug 04 11:38:02 IST 2020","2812","","e2e Test- Feedback flow","","e2e Test- Feedback flow","Launch Browser","Launch Browser",""
"passed","Tue Aug 04 11:38:24 IST 2020","Tue Aug 04 11:38:24 IST 2020","25","","e2e Test- e2e_SearchBox_KeyboardEmulator Flow","","e2e Test- e2e_SearchBox_KeyboardEmulator Flow","Validate Redirection","Validate Redirection",""
"passed","Tue Aug 04 11:38:04 IST 2020","Tue Aug 04 11:38:11 IST 2020","7284","","e2e Test- Login/logout Flow","","e2e Test- Login/logout Flow","Should not login with invalid credentials","Should not login with invalid credentials",""
"passed","Tue Aug 04 11:38:03 IST 2020","Tue Aug 04 11:38:07 IST 2020","3376","","e2e Test- Feedback flow","","e2e Test- Feedback flow","Checking if there is redirection when there is no Form data","Checking if there is redirection when there is no Form data",""
"passed","Tue Aug 04 11:38:21 IST 2020","Tue Aug 04 11:38:25 IST 2020","3771","","e2e Test- PaymentSavedPayee Flow","","e2e Test- PaymentSavedPayee Flow","Click On Pay Bills Tab and Check Redirection","Click On Pay Bills Tab and Check Redirection",""
"passed","Tue Aug 04 11:38:00 IST 2020","Tue Aug 04 11:38:04 IST 2020","3731","","e2e Test- Helper Flow","","e2e Test- Helper Flow","Launch Browser","Launch Browser",""
"passed","Tue Aug 04 11:38:00 IST 2020","Tue Aug 04 11:38:04 IST 2020","3631","","e2e Test- Login/logout Flow","","e2e Test- Login/logout Flow","Launch Browser","Launch Browser",""
"passed","Tue Aug 04 11:38:15 IST 2020","Tue Aug 04 11:38:18 IST 2020","2619","","e2e Test- e2e_SearchBox_KeyboardEmulator Flow","","e2e Test- e2e_SearchBox_KeyboardEmulator Flow","Launch Browser","Launch Browser",""
"passed","Tue Aug 04 11:38:08 IST 2020","Tue Aug 04 11:38:09 IST 2020","1393","","e2e Test- CurrencyExchange Flow","","e2e Test- CurrencyExchange Flow","Click On Pay Bills Tab and Check Redirection","Click On Pay Bills Tab and Check Redirection",""
"passed","Tue Aug 04 11:38:04 IST 2020","Tue Aug 04 11:38:07 IST 2020","2737","","e2e Test- Helper Flow","","e2e Test- Helper Flow","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Aug 04 11:38:11 IST 2020","Tue Aug 04 11:38:17 IST 2020","6549","","e2e Test- Login/logout Flow","","e2e Test- Login/logout Flow","Should login with valid credentials","Should login with valid credentials",""
"passed","Tue Aug 04 11:38:03 IST 2020","Tue Aug 04 11:38:03 IST 2020","772","","e2e Test- Feedback flow","","e2e Test- Feedback flow","Feeling the form data","Feeling the form data",""
"passed","Tue Aug 04 11:38:17 IST 2020","Tue Aug 04 11:38:26 IST 2020","9125","","e2e Test- Login/logout Flow","","e2e Test- Login/logout Flow","Should logout from app","Should logout from app",""
